status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review,watson_sentiment,watson_score,covid_19,company_age,log_company_size,log_net_profit
Not Verified ,,Business,Economy Class,London Gatwick to Bordeaux,24-Jun,2,2,,,,1,1,no,1, Had not flown EasyJet for over a year because of constant delays (and flights cancelled). Tried the airline again with a morning flight to Bordeaux which was close to 2 hours late. This company has no respect whatsoever for their clients. I will definitely not use easyJet again!,negative,-0.850861,0,29,8.552367,5.783825
Not Verified ,A320,Business,Economy Class,Bristol to Edinburgh,24-May,1,1,,,,1,1,no,1,"   Given the basic fare cost with no hold baggage, speedy boarding etc. they provide a poor level of service in all respects. Return flight delayed by well over an hour with no information from them other than gate to be announced. Then a pathetic excuse about an earlier fight delay elsewhere that shows they have no slack in their operations. A pathetic service from a pathetic airline of what has to be the airline of the last resort when no other options exist to travel. The rating of 1 star is not deserved but it will not register zero.",negative,-0.806221,0,29,8.552367,5.783825
? Trip Verified ,A320NEO,Solo Leisure,Economy Class,Porto to Ajaccio via Geneva,24-May,3,4,,,,3,5,yes,7," My EasyJet flights from Oporto to Ajaccio were generally positive, with a couple of minor bumps. The flights themselves were comfortable and on time, except for a one-hour delay on the connecting flight from Geneva to Oporto. Unfortunately, there weren't any announcements from the ground staff about the delay, which was frustrating. Be wary of the duty-free offers. They advertise big savings compared to high street stores, but I found the same perfumes significantly cheaper (around 5 euros less) in shops on the main street.",negative,-0.384695,0,29,8.552367,5.783825
Not Verified ,A320,Couple Leisure,Economy Class,Gatwick to Tenerife,24-May,2,5,,2,2,2,2,no,2,"? ?EasyJet are scammers. We were never informed of their monetise the baggage policy, until we arrived at the boarding gate, and could no longer transfer stuff into hold cases. My 76 year old wife was charged ?48 because her cabin bag, which she has used for years and years had become 1"" too long, because Easy Jet decided to cash in by making a new ""rule"". They have done this, knowing full well, and in complete contravention, of the decision by the European Parliament's Committee, to now enforce a cabin baggage rule made in 2014. The European Court of Justice refers to airlines' varied size and weight standards for hand baggage, hidden fees, and misleading consumers about the true cost of air travel. The explanation given, was that the bag was a flight safety hazard, in the event of the aircraft being evacuated. However, by paying Easy Jet ?48, the bag was no longer a flight safety hazard, apparently. The other explanation given was that it would not go under the seat, but would have to go in the overhead lockers, designed for that purpose. Which, of course, was exactly what always happened before Easy Jet changed their rules. Incongruously, prior to take off, cabin crew (quite correctly) ask for any significant items to be stored in the overhead locker. Now, if that isn't misleading and monetising customers, then I don't know what is. Easy Jet may seem like a cheap option. It isn't. If you have a problem, and there are often problems travelling, Easy Jet will do nothing to help you. Better, much better, simply fly with a reputable airline. Superficially, it might appear a few pounds more; but, when you need customer service, you are much more likely to get it.",negative,-0.618626,0,29,8.552367,5.783825
? Trip Verified ,,Solo Leisure,Economy Class,Hurghada to Gatwick,24-May,1,1,1,1,1,1,1,no,3,"  I have been travelling for 5 years, between Hurghada/Gatwick, approx 7 - 8 times per year. I am sick to death of this airline, but unfortunately have no other option of another direct flight, since WizzAir stopped their flights. I need wheelchair assistance which I always book in advance, yet, I am never provided with the service they claim they can provide. The wheelchairs provided in Hurghada airport are all broken & on arrival 3 weeks ago, I was dumped on a seat at the far end of the arrivals corridor & completely abandoned for 35 minutes, until the pilot & crew came past & asked if I was OK. I explained the situation & they kindly went to find a porter with another wheelchair to rescue me. The porters always demand a tip & often rummage through my purse, dictating to me which notes they will take for this 'free special assistance service', whilst also asking me for some of my painkillers, pens, sweets etc. The porters only provide a wheelchair service after you have queued to get into the airport, queued to have your passport check, queued to get through the first x-ray & bag/body searches, 2nd bag search & checked your bags in. They only wheel you to the gate, not down the gangways to the plane, so you are left standing in queues to board the plane for 30 - 45 minutes. My flight back from Hurghada on Sunday 26th May was delayed for over 26 hours & absolutely no special assistance was provided at all to disembark the plane, when the pilot decided to abort take off. I was left to struggle all the way back through the airport again & onto a bus which drove us all the way out to a hotel in Sahl Hasheesh, then struggle to offload my luggage from the bus & in the pitch black, at 4am, all round the huge hotel complex, to my room. No Easyjet rep made an appearance & I only knew when the bus was coming to pick us up to take us back to the airport, through rumours from other passengers. It is also infuriating that on every flight back to the UK from Hurghada, they never have any food. Only 7/10 flights to Hurghada have food available. I am diabetic & had arrived at Hurghada Airport at 6pm for my 8.45pm flight on Sunday. The 1st delay was apparently due to the plane arriving late from the UK. The 2nd delay was apparently due to a crew member being sick & the 3rd delay, was due to a technical issue with 2 of the 3 plane's communication systems as we were taking off. We were all sat on the plane, on the runway for over 2 hours, with no food or drink, only half a plastic cup of warm tap water each. We reached the hotel we were bussed to at approx 3.15am, but there was no food or drink available. All the restaurants were shut. The first opportunity to drink anything was from the minibar at 4.45am, once I had struggled alone to my room. Still, no food had been provided at all. I was feeling extremely unwell by then & tried to call Reception using the phone in the room, but it was broken. The next thing I remember was waking up at about 12.10pm. I struggled to get up & outside to try to find something to eat. Luckily, I came across a fellow passenger who escorted me to a restaurant for lunch. It was the fellow passenger who told me where the nearest pharmacy was & the rumour she had heard about a bus picking us up at 6pm. Arrived at the airport for our 10pm flight, which was delayed until 11pm. Again, no food on the flight. The excuses for flight delays are usually; pilot stuck on M25, crew sick, plane late in, technical issues, etc.",negative,-0.724085,0,29,8.552367,5.783825
Not Verified ,,Solo Leisure,Economy Class,Rome to Bristol,24-May,4,3,,,,3,5,yes,7," I recently flew with easyJet, and overall, the experience was very good. The flight itself was comfortable, the crew was friendly and attentive, and the onboard services met my expectations. However, there was a significant delay that affected my travel plans. Despite this, the airline handled the situation professionally and provided timely updates. While the delay was inconvenient, the quality of the service and the positive attitude of the staff helped mitigate the frustration. I would recommend easyJet but advise future travelers to be prepared for potential delays.",positive,0.711771,0,29,8.552367,5.783825
? Trip Verified ,,Family Leisure,Economy Class,Edinburgh to Bodrum,24-May,1,1,,,,1,2,no,1," Horrible experience, I will never book with them again. Very unprofessional and incompatible staff. This company is only interested to take money from people. I highly recommend to avoid flying with this company if possible, their services are absolutely below minimum.",negative,-0.714139,0,29,8.552367,5.783825
? Trip Verified ,A320,Couple Leisure,Economy Class,Porto to Nice,24-May,2,5,1,,,5,3,yes,8,"  Differently from previous flight boarding process was stressless. Once again extremely pleasant staff. Two pax decided to deboard, for private reasons. Staff reacted quickly and flight was not delayed thanks to their ability to deal with their hand and registered luggage.",positive,0.59525,0,29,8.552367,5.783825
? Trip Verified ,A320,Couple Leisure,Economy Class,Nice to Porto,24-May,2,5,1,,,3,3,yes,6,"  Perfect check-in, with no stress. Boarding on the other hand was rather disorganized, as after checking our boarding passes, we were parked in a too small room, not fitted for so many passengers, and only a couple of seats. Plane extremely clean with an extreme friendly staff. Even not a free cup of water was offered. But I was choked by the repeated announcements on selling alcoholic drinks at cheap price. Disembarking in Porto under strong rain, no finger, no bus, not even a protected ladder. We arrived completely wet at terminal after a 200 meters walk.",negative,-0.408021,0,29,8.552367,5.783825
Not Verified ,A320,Solo Leisure,Economy Class,Antalya  to Edinburgh,24-Apr,3,1,1,,,4,3,no,3,   I normally only leave a review if I have something positive to say. On this flight there is no positive except being transported from AYT to EDI. I honestly can't remember the last time I was on a flight with such a disinterested lazy crew. They did one service after take off at break neck speed then disappeared. Apparently they were having dinner! How long it takes to have a ping dinner and a coffee appears to be at least 2hrs 30mins. They were visible individually when they took it in turns to make the long journey from the aft galley to the front galley only to sit down and read a book. Their attitude was quite unbelievable. If I had to base EZY on this flight alone I'd never step foot on one of their aircraft again. Not that they'd be bothered given their management don't appear to take any comments onboard.,negative,-0.665966,0,29,8.552367,5.783825
