status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review
✅ Trip Verified ,A320,Couple Leisure,Economy Class,Rome to Frankfurt,Jun-24,2,5,,,,2,1,no,1,"  I paid for emergency exit seats, Lufthansa changed planes and gave us 2 seats in normal seats. I did not notice this at check in, and at the gate I asked for my emergency seats. They said the plane was full, and to please ask for a refund online. Lufthansa answered with very poorly written mails, and plainly refused a refund (here is the text of the mail I received: ""Our decision has been carefully considered, taking into account, Of course, our decision was made after assessing carefully considering the legal liability along with goodwill considerations. Therefore, we kindly request your understanding that we choose to uphold our decision and consider the case closed"" Luckily Expedia was nice enough to give me a credit for the same amount for use in future travel. "
✅ Trip Verified ,A320,Family Leisure,Economy Class,Venice to Frankfurt,Jul-24,4,1,1,,3,2,2,no,2,"  Flight was delayed by about 1 hour. An excuse for the inconvenience for transit passengers? No. LH no longer seems to be interested in how passengers are doing. When disembarking, the captain and flight attendant stand next to each other at the door, but instead of saying goodbye to the paying passenger, they prefer to talk about evening programs after work.  But the tip of the iceberg was the stand-by flight attendant in uniform who complained about children on board. Not a single child screamed, but was simply a happy child.  LH urgently needs to work on the service and the staff."
✅ Trip Verified ,,Couple Leisure,Economy Class,Munich to Malaga,Jul-24,1,1,,,,1,1,no,1," Flight cancelled due to a delay leading to the crew unable to continue flying, no replacement crew available. The ""service centers"" at the airport so overwhelmed by stranded travelers or rather so undermanned that there was an hours long wait time to get a waiting number. Beyond belief. Got an alternative flight only 3 days later, and of course no compensation offered by the airline. Our luggage has been taken hostage for those 3 days since we weren't willing to queue up again for hours at the luggage counter. This airline doesn't deserve its 4 Stars, this is an insult to any quality airline. Their service has been steadily deteriorating over the past 10 years and has now reached the level of the worst budget airlines but still at a premium price. Delays and cancellations are rather the rule than the exception by now, the service hotlines even for frequent flyers are unreachable and incompetent. Even cattle on their way to the slaughterhouse are treated better. Avoid this airline if possible by any means!"
✅ Trip Verified ,,Business,Economy Class,Palermo to Hamburg,Jun-24,3,4,,,,1,4,no,3," Our recent experience with Lufthansa has been extremely disappointing. On both legs of our journey, we faced significant issues. On June 6th, during our flight from Hamburg (HAM) to Palermo (PMO), our luggage was delayed and did not arrive with us. We had to wait for several days without our belongings, and the only reason we retrieved it sooner was due to my trip back to the airport. The return trip was equally problematic. After a delayed arrival in Munich on June 28th, one of our three pieces of luggage did not make the connecting flight to Hamburg. We received no information about its whereabouts until July 1st, and it was only delivered on July 2nd, after numerous failed attempts to contact the delivery company. The system used by Lufthansa to track luggage is utterly useless, providing no updates other than stating the luggage is being searched. The response from Lufthansa was not customer-friendly, showing no acceptance of responsibility and offering no compensation without receipts, which is merely a legal requirement. The fact that such issues occurred on both flights highlights significant problems in the logistics and capabilities of Lufthansa in providing reliable service. Overall, this demonstrates a lack of care and poor customer service from Lufthansa."
✅ Trip Verified ,,Couple Leisure,Economy Class,Istanbul to New York via Frankfurt,Jun-24,2,4,1,1,1,2,2,no,2," I stopped flying Lufthansa 15 years ago and now I remember why. All four flights (departure + connection) and the same on the return flight were delayed. On the outbound flight, we missed the connecting flight to New York. There was absolutely no staff waiting at the gate to direct us to our gate or even escort us as I've seen many times when a connecting flight is delayed. Everything around our gate was closed at 5pm in the evening? No staff, no information kiosk, no ticketing agent, no Lufthansa staff in Frankfurt, the airlines hub city!? When I was finally able to connect to wifi and look online for our gate and we ran to it, the plane had just closed boarding. Had there been an escort, we might have made it. The rebooking agent acted like he was doing us a favor by putting us in a hotel for the night and told me I shouldn't have booked such a close connection - excuse me sir, your company shouldn't have close connection times if they can't fulfill the obligation. On the way back another late flight and just narrowly made the connection but of course the luggage did not. I had another flight and just one day to receive my luggage before leaving. Of course it did not arrive until midnight the day after landing. I waited all day and had to rush and pack for my flight early the next morning. In addition to their time management problems, the planes were old, the entertainment system ancient, the food was horrible and the customer service useless. I suppose I just needed to be reminded why I avoid Lufthansa at all costs. Well done LH."
✅ Trip Verified ,,Solo Leisure,Economy Class,"Belgrade to Edinburgh via Frankfurt, Munich",Jul-24,1,3,1,,,1,1,no,1,"  All the worst. All 4 of my flights were delayed, the first trip BEL-EDI was supposed to last 5h and it lasted 25h. They refuse to compensate me because it was due to a ""bird strike"". "
Not Verified ,,Business,Business Class,Manchester to Bari via Munich,Jul-24,1,3,,,,1,1,no,1,"   If I could, I would give them 0 for their appalling customer service and absolutely lack of care for their customers. I lost my flight connection because of a delay. Certainly, delays can happen this is indisputable. However, they left us to sleep on the floor and their staff on the plane lied by stating that my flight connection had not departed.  They have rebooked me on two flights and one is not a business class despite I paid for this class. Now this means that on one of their flights I will not be able to carry 2 bags on despite I paid for them and I need in order to do some medications. I will never travel with them again. The staff in Munich was rude and unprofessional. Today there were only 3 people at the desk despite there was a long queue of poor customers who needed to rebook their flights connection. I have booked a return flight with them but no way I will travel with them again. "
✅ Trip Verified ,,Business,Economy Class,Munich to Barcelona,Mar-24,1,1,,,,1,1,no,1," Attention, Lufthansa tries to screw you over if they have the chance. Here is my terrible experience: - Lufthansa informed me via mail on 13.03 that I was rebooked from my original flight on 14.03, which I had already checked in for, to an alternative flight on 15.03 for no reason - Lufthansa employees on the service telephone were also unable to reverse this on 13.03 and gave me various incorrect reasons such as the flight was canceled or fully booked, although it was taking place and could still be booked via their own Lufthansa website - I therefore had to book the original flight on 14.03 a second time via their own Lufthansa website as an alternative to the exact same denied original flight. I took my original 14.03. flight on that second booking - due to Lufthansa's incompetence, they owe me compensation for the entire ticket price of the second booking for the same original flight - Lufthansa denied that request multiple times. This practice is more deceptive than that of our well known low-cost carriers. I find it appalling how customers are treated and I would recommend anyone to choose another airline if possible."
✅ Trip Verified ,,Solo Leisure,Economy Class,Sarajevo to Frankfurt,Jul-24,3,1,1,1,1,1,1,no,2," Scheduled a 2.5 hour flight looking to receive some refreshments. Come to find out ordering a Coke I had to pay for that unexpectedly. Picking seats you have to pay to change seats. Find there is a fee to check any luggage. Very disappointing how any convenience you wish to have now is gone, might as well book Spirit Airlines if I have to pay for things. Delayed on takeoff and delayed to get off the plane. Had to wait on the tarmac to get bussed to the gate. What a disappointment."
✅ Trip Verified ,,Solo Leisure,Economy Class,Munich to Lisbon,Jul-24,3,2,1,,,5,3,no,6,"  The flight from Munich was delayed by almost an hour which is actually a good thing as my flight to Munich was late due to thunderstorms. The flight attendant announced with some fanfare on the loud speaker that Lufthansa has rolled out a new system of offering water, a tea or coffee. This was a subtle way to break the news that no free food of any kind is given (not even a snack) and sending a message to customers that they should suffice with only one drink. The distribution of that one drink per passenger started late (not due to turbulence) and was proceeding very slowly. I waited an hour and 50 minutes after take off to receive a drink. The seats are well padded but I don't know if they are more spacious than those of low cost airlines. The crew did not seem to have any sandwiches to sell (I think they were short on them) but they did have plenty of crisps, pretzels etc.  The highlight of the trip was the Lindt chocolate at the end."
✅ Trip Verified ,A330,Solo Leisure,Business Class,Frankfurt to Riyadh,Jun-24,3,4,3,,,1,1,no,1,"  Flying out of Riyadh delayed by 3 hours and missed connection.. The LH employee at Riyadh did not do anything although i informed them before boarding, in Frankfurt agent told me next day flight and i don't have guarantee for hotel because of Euro championship, or i have to take Airbaltic and she asked me to go to their office. I realized that airbaltic in another terminal and nobody in their counter because their flight will be after 7 hours. After arrival to destination they lost my baggage. Flying back no boarding pass for connection and nothing at their app and I have to go to their office in FRA. The crew was good and helpful. Problem is mainly ground crew and agents."
✅ Trip Verified ,,Business,Economy Class,Cologne to Ancona via Munich,Jun-24,,,,,,,1,no,1,"  Cancelled my flight with no notice and offered a replacement which would have meant missing an important appointment. I was forced to make alternative travel arrangements with another airline and Lufthansa refuse to reimburse expenses. Customer service is uncaring, unwilling to engage, and peddles inaccuracies. "
Not Verified ,,Business,Economy Class,Munich to Tbilisi,Jul-24,2,3,1,1,1,1,1,no,1," Horrible company, no meals onboard, and also when you have 7 hours gap for transit flights no meals no nothing. Nothing is free for them or no bonuses, was such a good company but now it is the worst. Shame on you"
✅ Trip Verified ,,Couple Leisure,Economy Class,Montreal to Zagreb via Munich,Jul-24,1,1,1,1,1,1,1,no,1," Most horrible airline I have ever experienced. I don't even know how this airline is functioning. *ALL FOUR* of our flights through Lufthansa were majorly delayed - over 16 HOURS of delay time, causing us to miss an entire vacation day and our means of transportation. Hundreds of people had also missed their connectors and the line for customer service was a 3 hour wait. One of our connectors was SIX HOURS and we still missed it because they cancelled our tickets. They say to check the app but it doesn't update so it is useless. Not only that, but my husband paid EXTRA for seats to be next to each other and they gave our seats together away to a family without telling or asking us. We didn’t know until we were about to board - nor did we get any sort of refund. If you want to arrive within a day of when you expect to arrive to your vacation then don't book through this trash of an airline."
✅ Trip Verified ,,Couple Leisure,Economy Class,Zagreb to Bremen via München,Jun-24,3,3,4,1,3,4,1,no,1," Our flight yesterday was canceled and unfortunately we were not automatically rebooked. You can't clarify things properly with the chatbot, because you write that you are at Munich Airport and the chatbot replies ""Are you at Franjo Tudman Airport?"". Unfortunately, this was also not possible by phone, with the explanation that we had checked in our luggage and therefore could not be rebooked. We had to wait for hours in an incredibly long queue until the counter was able to rebook us and give us a hotel voucher. After hours of waiting, we were told in the terminal that Lufthansa would close the desk at 11pm and we would have to book a hotel room ourselves and stay awake at night waiting for the email from Lufthansa announcing the new flight. They just let hundreds of people down by not working. Pick your own hotel, even though all the hotels in Munich were fully booked. A Lufthansa employee in Munich laughed at us and sarcastically said to us, ""We have nice cozy pillows and blankets, you can sleep here at the airport"". In the end, we were lucky and booked the last room in a nearby hotel via Booking. We paid for the cab (€120 to the hotel and back the next day) and the hotel itself. The next day there was another surprise - first our flight was 2 hours late, and then the flight was canceled again, we were not informed about this either by SMS or by email. It was a coincidence that we wanted to check the status in the LH app. We were rebooked on a flight at 10pm. We have no deodorant, no toothbrush, have been traveling in the same clothes for more than 24 hours and the question arises whether this flight will take place at all or will be canceled again. This may mean deja vu - standing in the long queue again and in the end, when they close the counter at 11 pm, you have to worry about where you can sleep, how to get to the hotel and whether there is anything else near the airport, you have to pay for everything yourself of course. There is also the frustration of not knowing how long you will have to chase your money. The worst experience ever, I wouldn't recommend anyone to fly with Lufthansa."
✅ Trip Verified ,,Solo Leisure,Economy Class,Casablanca to Austin via Frankfurt,Jun-24,3,3,3,,,2,2,no,3,"  I recently relocated from Morocco back to the US after living there for 5 years. I also flew my 2 Moroccan cats which I took in while living there. Because I had 2 cats I had to buy 2 seats and fly a second person with me. Each ticket had 1 checked bag and I added an additional checked bag to each ticket for 4 checked bags. I didn’t want to rebuy every thing so I took the important stuff. Because I also wanted to take some textiles I had previously purchased I called Lufthansa to ask how much it would be to add a 3rd checked bag to one ticket. I was told over the phone the 3rd bag would be $110. I confirmed this price several times with the phone rep. However when I arrived to the airport in Casablanca from Marrakech where I was actually coming from the ticket counter took all my luggage and proceeded to charge me around $350 for that 3rd piece of luggage. I told them many times I was told $110 for the 3rd piece of luggage, they 100% did not GAF and I was forced to pay what they asked. Mind you I already spent + $1300 for the two tickets, and $220 for the two cats, and $180 for the two extra pieces of luggage I added. I filed a complaint and they tried to gaslight me telling me my luggage was “overweight” and this is why they charged ~$250 more (everything was in a different currency). I personally weighed all my luggage multiple times before arriving to the airport AND the airport told me the cost was due to the 3rd piece of luggage. Nothing was ever said related to my luggage being overweight. On top of this I tried to upgrade my tickets to see if that would be the cheapest way to have more luggage, I was told I could upgrade but the amount of checked luggage would be based on the ticket class I originally bought. And, on the first of the two flights my cats were forced to be separated despite me paying to have the two seats together. Even I was pressured by the airline rep to buy my seats because he told me even buying the tickets together wasn’t a guarantee we would be seated together. What a load this company is. "
Not Verified ,A380,Solo Leisure,Economy Class,Boston to Ankara,Jun-24,1,2,1,2,,1,1,no,1," I flew Lufthansa and SunExpress which is joint venture of Turkish Airlines and Lufthansa from Boston to Ankara at 2nd of Jun 2024 and from Ankara to Boston at 23rd of Jun 2024. Both of my flights with Lufthansa delayed my luggage. On my first flight the whole flights luggage was left in Munich airport and I received my luggage 3 days later. My current flight my luggage was left in Munich airport. As I learned Lufthansa are suffering lack of ground service personnel in Munich airport, yet they are using one of the biggest plane (A380 capacity of 525) and it was full."
✅ Trip Verified ,,Solo Leisure,Economy Class,Brussels to Milan via Munich,Jun-24,1,1,,,,1,1,no,1,"  I had booked tickets from Brussels to Milan via Munich. When I reached Munich, I was told that the next flight to Milan l has been cancelled and they didn't tell what to do next. I was standing in queue in front of their help desk and at last one alternate flight was arranged but that too got delayed several times. At last we reached Milan 8 hours late."
Not Verified ,,Family Leisure,Economy Class,San Francisco to Rome via Frankfurt,Jun-24,1,1,1,,,1,1,no,1,"   This is my first and last time flying Lufthansa! Paid extra for seat assignment. Seats were changed 4 times to then have us on the 4th change to not sit together. SFO to Frankfurt to Rome. SFO to Frankfurt’s reassigned seats were up against a wall, 3 seat reclined one inch, 4th seat did not recline at all, for 11 hours. Remember that I paid extra to not get the seats I wanted. Check in attendants were the rudest I have experienced.  Take off was delayed. The flight attendants were not friendly. My son asked for ice tea and the stewardess literally snapped at him, “No”. Arrived in Frankfurt after 11 hours, connected on to the next flight to then be asked to disembark due to a door issue. Again, rude counter attendants the caused mass confusion when trying to update the passengers. Everyone stormed the counter. What they wanted was 70 volunteers to get off the flight with a 250 voucher. Because they caused so much confusion, the counter attendants started yelling and threatening all of us that if we didn’t cooperate that they would just cancel the flights altogether.  They couldn’t get 70 people, they got 50, and then started to pull the rest of the people the next flight.  Once that happened, we were able to board. Once seated, the captain came on and said that the counter attendants miscounted and still needed 10 people to get off so they randomly selected another 10 people.  I was supposed to arrive in Rome today at two but I am still seated waiting to take off because now they are questioning the load of people and where we are all seating. I have never experienced such rudeness, disorganized, and horrible treatment of their passengers. I would like a refund for paying for seat selection early when I didn’t get any of the seats I wanted from SFO to Frankfurt due to the 4 x that we were moved and ultimately to a horrible seat situation"
✅ Trip Verified ,Boeing 747-400 / A340-600,Solo Leisure,Economy Class,Toronto to Hong Kong via Frankfurt,Jun-24,4,4,4,4,,3,4,yes,8,"  Flew from YYZ to HKG via FRA due to its cheaper tickets. It's my first time flying with Lufthansa and their B747-400. Their performance are basically satisfactory. Both planes in my flight are quite old but they are still clean and comfortable to stay in. The quality of IFE is ok and has a wide variety of movie selections. The meals for the flight from YYZ-FRA are satisfactory, yet the meal (chicken rice) from FRA-HKG is not very appealing to me. For such a long flight, their seats on both B747-400 and A340-600 are better than what I expected through reading online reviews. Overall speaking, their service is not comparable to the top-tier airlines but it's not bad and certainly has good value to money for my flight."
✅ Trip Verified ,,Solo Leisure,Economy Class,Delhi to London via Munich,Jun-24,2,1,1,2,,3,3,no,4,"  I wasn't permitted to check in online. No choice of seating. Seats less than avarage leg space and minimal recline. Seat pocket tiny and difficult to access. Video screen was small with a fair if not unspectacular selection of choices. Avarage earphones. Blanket length was short. I usually enjoy my inflight meals but this one was awful. I couldn't eat the main meal. In nonveg they said eggs, no meat but I am not sure it had any eggs. Toilets were good and clean. 7 out of 10. Staff did not seem particularly interested in serving. My journey involved transiting through Munich. No issues with bags. I first flew LH from Manchester to New York in 2007 and last in 2017 between Bombay to London. Much worse experience now compared to my earlier flights."
✅ Trip Verified ,A340,Family Leisure,Economy Class,Newark to Budapest via Munich,Jun-24,1,2,1,2,,1,1,no,1," I had already sworn off of flying LH whenever possible, following their years long race to the bottom. Particularly bothersome to me are the narrow seat pitch in long haul Economy (impossible to open a laptop), tiny seat pockets large enough to fit, like, two bonbons, absence of reasonable Economy+ type seating, and downgrading of my home airport (PHL) to their Eurowings Discover division and its truly inedible food. But despite my better judgement, my wife made me give them another chance on our TATL flight this month, and oh boy, LH did not disappoint in showing how truly awful they are. In addition to all of the above (which makes it super uncomfortable to get work done on a computer), they enforce an absurd Ryanair-style 18 lbs carry-on size limit coupled with dimension limits that fit toy bags. Despite me explaining that in my reasonably sized standard carryon (which was under 20 lbs) I am carrying bare essentials to keep my special needs 4-year old manageable for a 24-hour trip and that this was the only carryon bag for three paying passengers combined, they made me empty everything into what was essentially one grocery-sized plastic bag: passports, diapers, medications, sleeping needs, children books, toddler food, water, one change of kid clothes — everything in one jumble. With this Hansel and Gretel type bag of overstuffed chaos I proceeded through several airports and planes courtesy of LH while my essentially empty carryon traveled checked in and the overhead bins were empty as well. The same farce was repeated on the way back, with the added twist that the plane experienced a technical defect that caused a 2.5 hour delay for which they issued us — after the late flight had boarded — 10 EUR meal vouchers which wouldn’t have been good for anything anyway since the US bound flight section had only one counter which had quickly run out of food. They also forbade the use of an FAA approved seat belt for my child on all flights, citing German regulations. LH is now strictly back in the banned category for me. I get that all of these things might have been in some conditions of carriage that I accepted by buying the LH ticket. Fine. But I have my own conditions of carriage, and as long as there is competent competition — I will not make the LH mistake again. "
✅ Trip Verified ,,Family Leisure,Economy Class,Frankfurt to Santorini,Jun-24,2,4,,,,1,1,no,1," I booked a flight through Lufthansa for my brother and sister to travel with me to Santorini. I tried to check in online, but it wasn't working, so I had to go to the airport counter. At the airport, I went to the Discover Airlines self-check-in machine, as my flight was operated by them, and it gave me an error. The staff at Discover Airlines directed me to the Lufthansa counter. The Lufthansa attendant attempted to check us in but also failed and sent me back to Discover Airlines. At the Discover Airlines counter, the assistant tried to generate my siblings' boarding passes but faced issues. After involving a supervisor and a 20-minute wait, another supervisor managed to resolve the problem. They then hurriedly told us to run as we were late, despite the delays being their fault. We suspect the system crash was due to purchasing my siblings' tickets with my credit card, which should have been an easy issue to resolve. After a lot of stress, we barely made it to the plane on time for takeoff. Now, I'm sitting on a super hot plane waiting for departure, and we've been told we have to wait another 20 minutes in the sun because around 50 bags are missing. I can't believe my poor siblings have to fly back to Frankfurt with this airline. I wish I could rate it a 0. If you have ANY other option, choose it. Avoid ruining your travel experience with this airline's incompetence."
✅ Trip Verified ,,Business,Business Class,London Heathrow to Frankfurt,Jun-24,1,1,1,1,1,1,1,no,1," The computers at the business class checkin desk was not working, so ended up waiting for more than 30 minutes, whilst the staff would go back and forth the automatic checkin kiosks. My seat was dirty and my chicken salad which did not have much vegetables and was awful. It took a long time for the bags to arrive. Will avoid Lufthansa at all costs. "
✅ Trip Verified ,A350-900,Couple Leisure,Economy Class,Bangkok to Barcelona via Munich,May-24,4,4,3,4,,5,4,yes,7,"   We flew Lufthansa for a second time, this time was long haul flight from BKK to BCN via MUC. The check-in and boarding was smooth. The aircraft was quite new and keep the noise in the cabin quite low. The seat was nice and comfort with very good leg room but recline not very much as we expected therefore we did not catch much sleep during night flight to Munich. The cabin crew was nice and professional. The food and drink was quite a little disappionted as the taste was not very good. No snack or fruit provided during flight. The flight was late about 30 minutes but we had no problem connecting flight.The flight from MUC to BCN was a medium haul flight flown by Airbus A321. Nothing was special. We were served with a bottle of water and small chocolate bar. The crew as quite friendlier than flight from BKK. Overall, it was OK but not up to our expectations."
Not Verified ,,Couple Leisure,Economy Class,Tehran to Birmingham via Frankfurt,Apr-24,3,2,2,1,1,2,2,no,1," Awful service. Cancelled my flight 2 times without an apology. Flight delayed by 2 days. After the second cancellation they just said that I would have wait until they tell me if a an alternative is found. So you can imagine the uncertainty and anxiety. On my return I wrote an email complaining but they arrogantly replied that because my return flight was from outside EU, I don't have any rights. My brother was travelling with the same airline and he wanted to change his departure date by one day and they charged him $500!!"
Not Verified ,,Solo Leisure,Economy Class,,Jun-24,1,1,3,4,,1,3,no,1,"   Extremely disappointed about this airline. After I paid for upgrade seat for a bulk head so I’m not restrain by anyone in front of me, having an 8hr flight, they change the aircraft and they atomically switch my seat in the middle of the plane between everyone. I called the airline once I received the email and they were the worst customer service ever. They hang up on me, then they said they can do anything, then they said I have to pay extra and hang up on me and at the airport they said they can’t do anything because the flight is full. The worst. Why do you give me the option upgrading my seat if you can provide the service. Worst airline."
✅ Trip Verified ,,Family Leisure,Premium Economy,Tivat to Heathrow,Jun-24,1,3,2,1,1,1,1,no,1," We experienced a nightmare with Lufthansa. We had a connection. The first flight was delayed, and they did not wait or direct us. The problem started from then on. They are too rude. They claimed it was very average daily problem. They have not assisted or helped. We had to stay at Frankfurt Airport overnight. They almost claimed we were responsible, not Lufthansa. They even treated my 6 years old very badly. I am not expecting corporate responsibility; they do not have minimum human empathy. Stay away from Lufthansa as much you can."
✅ Trip Verified ,Boeing 737,Solo Leisure,Economy Class,Boston to Ankara via Munich,Jun-24,1,3,3,3,,1,1,no,1, I flew with Lufthansa from Boston to Ankara. There is one stop in Munich. The second airline which flew from Munich to Ankara is Sun Express under Lufthansa. This flight lost the whole planes luggage. The plane had 3 hours overlay and arrived to Ankara without passengers luggage. I haven't faced anything like this before and I don't think I will choose Lufthansa again.
✅ Trip Verified ,,Solo Leisure,Economy Class,Montreal to Paris via Munich,Dec-23,,,,,,1,1,no,2,  Lufthansa cancelled my flight the day of the departure. I sent an email for compensation which they replied i am entitled to a compensation fee of 1000$. That was 6 months ago and i sent multiple emails which they have been asking banking information to receive the compensation amount but they never did since they confirmed it. I called them multiple times too but they said to wait for a response by email. Still no refund.
✅ Trip Verified ,,Solo Leisure,Economy Class,Munich to Prague,Apr-24,3,3,2,4,,1,2,no,1,"   The flight left from Munich without any luggages. None were boarded, and we were told only when we were waiting at the carousel at Prague airport. I got my luggage 24 hours later and Lufthansa refused to reimburse the amount paid to check the luggage. In my opinion, reimbursing that amount would have been the least they could do for the problems this delay caused."
✅ Trip Verified ,,Solo Leisure,Business Class,Paris to Mumbai,May-24,4,4,3,3,,4,4,yes,7," Excellent Crew. There should be more options / variety to the food. Don't know if it's only on this route (India) or it's on their every flight / route. If it's on every flight route, they must change their policy and have more options in the food. In terms of Food, Singapore Airlines is the best. Limited inflight entertainment. In the name of latest releases, showing old movies that they have added recently. No Anime. Wish management can take a notice of it."
✅ Trip Verified ,,Family Leisure,Premium Economy,"Calgary, Alberta to Frankfurt, Germany",May-24,2,1,1,3,2,1,1,no,1," If you are flying with a family, DO NOT fly with Lufthansa assuming you can reserve seats together. The organization of these flights are horrible, last minute changes to aircrafts occur consistently and your seats are then randomized. We originally reserved bassinet capable seats, but once seats were shuffled we lost that. We also reserved seats that were together, we lost that too. They will leave your reservation customizations up in the air until the day of your flight when you check in and HOPEFULLY you can get the seats you originally reserved. The overall experience was terrible due to their ""last minute aircraft changes"". BEWARE if you choose to fly with them."
✅ Trip Verified ,Boeing 787-9 / A330-300,Family Leisure,Economy Class,Denver to Dubai via Frankfort,May-24,1,3,3,1,2,2,3,no,2,"  I recently booked a ticket with Lufthansa for a trip from Denver, Colorado to Dubai, with a connection in Frankfurt. I was traveling with my infant baby, toddler, and child, and had specifically ordered a bassinet for my baby. However, my experience was far from what I expected from a reputed airline. Upon reaching the airport counter for check-in, I was shocked to find out that my ticket did not show up in their system. After several attempts to resolve the issue, I was informed that my ticket was a stand-by ticket. This was a huge surprise and extremely distressing, especially considering I had booked a normal ticket for myself and my young children. The entire process took over two hours, during which we were left standing on our feet with no assistance or consideration for our situation. When we were finally boarded, we were given seats separated from each other, all the way at the back of the plane. This made the journey difficult as the crew was unaccommodating and showed little concern for our needs as a family traveling with small children. When we arrived in Frankfurt, the nightmare continued. Once again, we were told that we did not have a boarding pass for the next leg of our journey. After another round of confusion and waiting, we were again given separate seats, which was highly inconvenient and stressful. This entire experience was one of the worst travel scenarios I have ever encountered. The lack of organization, empathy, and basic customer service from Lufthansa was deeply disappointing. Traveling with young children is challenging enough without having to deal with such chaos and unprofessionalism. I would strongly reconsider flying with Lufthansa in the future based on this experience."
Not Verified ,A320 / Boeing 747-8i,Family Leisure,Premium Economy,Berlin to Chicago via Frankfurt,Apr-24,3,3,1,2,1,1,3,no,2,"   After an enjoyable experience on Lufthansa going to Germany I had high hopes for my return flight. However the airline did not come close to meeting the expectations I had from my earlier flight. Ground staff boarding the flight from Berlin to Frankfurt were extremely rude and the one male ground staff took my boarding passes and passport because my hand baggage was 1/4 kilogram overweight. Although I was in the wrong about my baggage that is no grounds to take a traveler's passport and refuse to return it. Cabin crew on the Berlin to Frankfurt flight were incredibly rude, and unhelpful. After a mess of a layover in Frankfurt, we only just made our connection to Chicago. The premium economy class seat was comfortable and crew were nice and quite helpful. The food served on this flight was not good, asian chicken that was sweet, with undercooked rice and vegetables. Overall I was appalled by Berlin ground staff service and by the cabin service onboard my Berlin to Frankfurt flight, I have tried to file official complaints but have not heard back from the company."
