status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review,watson_sentiment,watson_score,covid_19,company_age,log_company_size,log_net_profit
? Trip Verified ,Boeing 777,Family Leisure,Premium Economy,Paris to Toronto,24-Jul,2,1,1,1,,4,3,no,5,"  Disappointing Premium Economy onboard experience on flight segment from CDG to YYZ in July 2024 with AirFrance. Journey segment originated in AMS, and the SkyPriority AMS airport was quick to check-in and drop-off luggage, with express security line, but wasn't really needed since the regularly security lines were moving just as quick. The AF Premium Economy experience on the trans-Atlantic segment was a real disappointment though, and should next time choose one of their SkyTeam members like KLM or Delta instead. Seats and cabin interior were dirty. Crumbs, dirt, and hairs evident on the seat, storage areas, food surfaces, and floor. Headphones are built-in cord-connected to the plane, with a sticker claiming they have been sanitized after each use, which I'm not so sure off. Service on the plane is really disappointing, with crew really not friendly at any point during the flight. They look angry, don't smile, and try to avoid any service as possible. Was almost impossible to get a drink at any time during the flight, as they don't answer the attendant call requests either. If you can the attention of a steward to request a drink, they are served in such small paper cups, and then filled only half full, so it's basically the portion of a Costco drink sample. In flight hot meal was a disgusting mushy pasta with mushed peas puree and it didn't look any better. Best part was the dinner roll with butter. Late night snack was a cold soggy bun with a super thin layer of pre-spread hummus, which was also quite gross. If this was the service and food in Premium Economy, I can't imagine what Economy was like. Online reviews said Air France Premium Economy was good and I was looking forward to it, but now I wouldn't recommend it. Would opt for a different airline.",negative,-0.679261,0,91,9.826499,6.990257
? Trip Verified ,,Solo Leisure,Economy Class,New York to Paris,24-Jan,1,1,,,,1,1,no,1," I am very disappointed with this airline and will never book with them again. I had a terrible experience due to them overbooking my paid for flight. Being an international flight, they rebooked me a full 24 hours later causing me to miss a whole part of my trip and booked itinerary. They were rude and unhelpful when I reached out to them to ask for compensation due to missed tours and hotel stay that I could not be reimbursed for. They wouldn't admit to any wrongdoing and blamed it on my connecting flight that was delayed, even though I still arrived to the gate with plenty of time to board and had checked in online. They did not provide any compensation and would not admit to their overbooking being the cause of me not getting to Paris as I had booked. The letters and follow up I received were rude with no empathy for what was a nightmare travel experience. I have flown internationally and booked many trips, never have I experienced such an awful situation as this. It was a first time trip to Paris for me and I never want to go again, especially with this airline. For whatever it is worth, I hope this helps someone else if on the fence with booking - I don't like to complain but somehow I needed to do what I could to hold this airline accountable for my experience. They did nothing to resolve it and I'm still left with anger and frustration to being silenced and without resolution.",negative,-0.859648,0,91,9.826499,6.990257
? Trip Verified ,,Solo Leisure,Economy Class,Hamburg to Singapore via Paris,24-Jul,1,1,,,,1,1,no,1,  They delay the first flight and the second flight leaves early so many people couldn¡¯t make the second flight. I got business class but they downgrade me and ask that I file refund separately by ¡°contacting¡± the airline. I cannot get a hold of anyone in the airline by phone. I file a refund claim which I¡¯m reading Air France doesn¡¯t seem to respond to. I will be asking my bank for chargeback since Air France seems to be incompetent. This isn¡¯t the first time a delay has occurred but it was the worst incident which is why I¡¯m writing the review. Not to mention with my business class my luggage weight would be fine but it¡¯s too heavy for economy which they downgraded me to so I had to pay an extra 115 euros. (CDG forces everyone to weigh their bags) so do I think this airline and airport is one big scam? ,negative,-0.882312,0,91,9.826499,6.990257
? Trip Verified ,A321 / Boeing 777-300ER,Couple Leisure,Economy Class,Lisbon to Singapore via Paris,24-Jul,4,2,2,3,,1,3,no,5,"  Boarding was delayed on the first leg, and on the second. We were supposed to have special meals, but they neglected to load them in Paris. The steward put more effort into explaining why it was not his fault than he did remedying the situation. They also neglected to pass on the request to QANTAS, for the final leg of the (24 hour) journey.",negative,-0.737017,0,91,9.826499,6.990257
? Trip Verified ,,Family Leisure,Economy Class,Los Angeles to Barcelona via Paris,24-Jul,3,2,3,2,,1,1,no,3,"  My family of 4 and I are long-time, loyal Delta customers and often times our flights are operated by Air France. Recently, during a multi-stop trip, we experienced 3 separate terrible experiences, leaving us unwilling to fly Air France again. First, from LAX to CDG, our flight was expected to be delayed which would result in our missed connection out of CDG. We were informed the morning of, and we were automatically, without our input/consent, changed to another flight later in the day. It took a 2 hour long phone call to convince the Air France representative that our preference was to remain on our original flight (despite the missed connection), and that they should not have assumed our preference was to take the later flight (which would not have made it to CDG in time for our connection anyway). The Air France representative insisted that I was the one who had requested the change during an earlier phone call, which was a blatant lie. Next, from BCN to CDG, our flight was canceled due to smoke detected in the rear of the plane. While we truly appreciate the safety precaution, this led us to be delayed, potentially missing our connection flight home from CDG. We were shuttled out of the plane, and taken back to the terminal where we were greeted and instructed by absolutely no one, displaying a shocking lack of empathy and support. We were all on our own, left to figure out how we would retrieve our bags, rebook flights, where to go, etc. Air France customer service dropped the ball here yet again. Finally, on our rebooked flight from BCN to CDG, our flight was 2 hours delayed due to an employee strike. The Air France employee speaking on the intercom was very clear to let us know that it was not Air France's fault, but rather the fault of a contractor. While this may be true, I still hold Air France accountable, and they could have handled the situation better by communication updates more frequently, and being better prepared by foreseeing the strike or having a contingency plan to minimize delays. Ultimately, we missed our connection flight out of CDG and had to stay in a mediocre hotel by the airport until our flight the next day.",negative,-0.752723,0,91,9.826499,6.990257
Not Verified ,,Couple Leisure,Economy Class,Vancouver to Lisbon via Paris,24-Jun,3,2,1,4,,3,1,no,1,"   Going to Lisbon via Paris: the service from Vancouver to Paris was awful, with only one meal and one snack. I asked for a stewardess three times by turning the light on but no one came. Finally someone was passing and I asked for a small snack. I was given a cheese sandwich. I  didn't eat it. Very unfriendly flight attendants. Return flight: boarding was absolute chaos. No line ups all zones boarding together.",negative,-0.735104,0,91,9.826499,6.990257
? Trip Verified ,,Couple Leisure,Business Class,Madrid to Phoenix via Paris,24-Jul,1,1,1,1,1,1,1,no,1," Whatever you do, do not travel if you have a disability. Air France will not help and does not care. They changed my gate information after issuing me the boarding pass. The new gate was 5 miles away from the original. Not just a few gates. Because they refused to give me my boarding pass once I was in their wheelchair assist program, I could not move on my own. On top of that, their staff kept us away from any monitors that would have shown the gate had changed. At NO POINT did they ever email, text or call us to let us know the new gate. Because their wheelchair assist was so slow, we showed up at the wrong gate with only 15 minutes left only to see an empty gate. They refused to hold the flight, even though it left 30 minutes late. So they weren't pressed for time, they just don't give a darn Out of the 12+ employees we dealt with, ONE helped. The rest were useless and lazy. They do not care about people at all. We were able to get a flight on Delta and make it home. One piece of luggage was delayed, but again, the luggage was being held by Air France and they don't care. Once it fell into the hands of Delta, it moved very quickly. On the flight getting to Europe, they gave us 4 ounces of water and that was all for a 10 hour flight. Then lost one piece of our luggage and lied to us about it. I have heard that the French are rude to Americans, but I assumed it was more urban myth; NOPE. Air France is cheap, poor service and will not help no matter the situation. Heaven help those traveling to Paris for the Olympics. Paris airports and their airlines are not ready.",negative,-0.695944,0,91,9.826499,6.990257
? Trip Verified ,,Couple Leisure,Economy Class,Johannesburg to Paris,24-Jun,3,5,4,4,4,4,3,yes,8,"  I was a passenger on ¡°Air France¡± flight AF0995 on June 21, 2024 leaving Johannesburg for Paris, CDG, in seat 31A when, an hour and a half after takeoff, I experienced sudden and serious illness: headache, choking, profuse sweating, nausea, generalized body weakness and gradual loss of consciousness. My wife, Tshabu Mudiayi, who occupied seat 31B noticed my distress and asked me what was wrong. I tell him to turn on the fresh air. The plane -Boeing! ¨C did not have this button or the staff call button. She had to leave me in a panic to go and inform the hostesses of my situation. I was slowly losing consciousness. The staff, a woman and a man, arrived quickly and immediately began a very basic, but nonetheless effective, ¡°resuscitation¡±. I myself have been an internist for 46 years and I could, although inert, hear: ¡°lift your legs, is the pulse present?, place the ice cubes on the neck, bring more, remove the anourak, pat his head, try to talk to him¡­let's move him to the front of the empty row, he's heavy, the big baby (!) ¨C I'm 72 years old! -, can you hear us, sir? There are also two doctors among the passengers, we¡¯ll take care of you, you¡¯ll be fine¡­¡± After about fifteen minutes of effort, I completely came to my senses. I felt good and out of danger. Even the Commander came to see what was happening.  Your agents came back again in the morning to reassure me about my condition. I was able to eat. My journey continued without problem to CDG, Paris, and then Toronto, my final destination from where I am writing to you. I would like here to express my appreciation for the ¡°professionalism¡±, the rapid and efficient assistance of the personnel of this flight and also for the attention and delicacy that the commander, a Mr. Petro - I was told - demonstrated on the client and the patient that I was.  J¡¯etais passager sur le vol AF0995 d¡¯¡°Air France¡± le 21 juin 2024 quittant Johannesburg  pour Paris, CDG, sur le siege 31A lorsque, une heure et demie apres le decollage, je fus pris d¡¯un malaise soudain et serieux: maux de tete, suffocation, sueurs abondantes, nausees, faiblesse corporelle generalisee et survenue progressive d¡¯une perte de connaissance. Mon epouse, Tshabu Mudiayi, qui occupait le siege 31B s¡¯apercut de ma detresse et me demanda ce qui n¡¯allait pas. Je lui dis d¡¯activer l¡¯air frais. L¡¯avion -Boeing! ¨C n¡¯avait pas ce bouton ni celui d¡¯appel du personnel. Elle dut me quitter en panique pour aller informer les hotesses de ma situation. Je perdais doucement connaissance. Le personnel, une femme et un homme, arriva rapidement et entreprit immediatement une ¡°reanimation¡± tres basique, mais efficace cependant. Je suis moi-meme medecin-interniste depuis 46 ans et je pouvais, quoiqu¡¯ inerte, entendre: ¡°souleve les jambes, le pouls est-il present?, pose les glacons sur le cou, apporte-z-en encore, enleve son anourak, tapote la tete, essaye de lui parler¡­deplacons-le devant a la rangee vide, il est lourd, le gros bebe (!) ¨C j¡¯ai 72 ans! -, vous nous entendez, Monsieur? Il y a aussi deux medecins parmi les passagers, on s¡¯occupe de vous, ca ira¡­¡± Au bout d¡¯une quinzaine de minutes d¡¯efforts, je repris totalement mes esprits. Je me sentais bien et hors de danger. Meme le Commandant vint voir ce qui se passait.  Vos agents revinrent encore le matin me /se rassurrer sur mon etat. J¡¯ai pu manger. Mon voyage continua sans probleme jusque CDG, Paris, et ensuite Toronto, ma destination finale d¡¯ou je vous ecris. Je voudrais ici exprimer mon appreciation pour le ¡°professionalisme¡±, le secours rapide et efficace du personnel de ce vol et aussi de l¡¯attention et la delicatesse que le commandant, un Monsieur Petro -m¡¯a-t-on dit- ont demontre sur le client et le malade que j¡¯etais.",negative,-0.683575,0,91,9.826499,6.990257
? Trip Verified ,,Solo Leisure,Economy Class,Paris to Montreal,24-Mar,2,3,2,3,1,3,3,no,2,"  My flight on 1st March was delayed for more than 6 hours at Paris airport. A couple days later I contacted the Air France customer service to claim financial compensation for the delay. Almost 4 months later I haven't received any compensation, and the company stopped following up with me. I called customer service many times and I was always told they would get back in touch with me on the phone and via email, but they never did. It seems to me that the company is trying to ""save"" money on those delay compensations.",negative,-0.839608,0,91,9.826499,6.990257
Not Verified ,,Business,Business Class,,24-Apr,3,4,3,3,,1,1,no,1,"?My suitcase arrived 3 days late, I spoke to them and since I was there for work and meetings, they instructed me to buy the necessary items for my work and hygiene so I did and when I got back home and asked them for reimbursement They asked for thousands if documents and I provided every single one, then out if no where they just said the documents are not complete and I kept emailing and calling them and asking them what other document they need, they tell me now everything is complete but no one knows why I was rejected and why that supervisor just decided to deny the case, they are now after a month telling me to wait 21 business days until I can reopen the case again. So ridiculous that they charge an arm and a leg and lose your suitcase and when the time comes that they have to pay such little amount, they give you a good run around and no one wants to help and just gives you a hard time. ",negative,-0.987395,0,91,9.826499,6.990257
? Trip Verified ,A350-900,Solo Leisure,Business Class,Mexico City to Paris,24-May,4,4,3,4,,1,2,no,4," My trip was a code-share ticket through Delta (miles) in Business Class from Houston to Paris. This review is for the Air France flight from Mexico City to Paris (CDG). First, the lounge experience that Air France leverages in Mexico City is subpar. The hard product (A350-900) is a very nice aircraft. No complaints with the seat, although the space for legs/feet for sleeping is a bit tight. Boarding was hectic in Mexico City. The flight attendants were friendly but nothing beyond the basics. The food was poor. The steak dish was horrible and bland (and cool). What really made this flight the worst, was the fact that Air France did not load any passenger bags (or pets) on this flight and did not tell the passengers until after arrival in Paris (at an empty baggage claim belt), and everyone had to enter a claim. Even though they knew this for the entire eleven hour flight. Apparently overloaded with cargo. Air France does not have bag tracking like United (for example) and the claim system was not updated promptly, so no indication of if/when bag would be delivered until a few hours before arrival at hotel the following evening (and I was leaving for another city in the morning!). Submitting claims for items purchased in slow and they don't except bank credit card receipt info (even though this shows date/location/store/item type, etc.). Had to be persistent with my responses and still not be compensated for the entire amount. Ability to contact Air France Customer Service is not easy to do. They have it set up to mostly avoid ""human"" contact.",negative,-0.771246,0,91,9.826499,6.990257
? Trip Verified ,Boeing 777-300er / A330-200,Couple Leisure,Economy Class,Bangalore to Toronto via Paris,24-Jun,2,1,1,1,2,1,1,no,1," Bangalore airport - Ground staff at check-in were highly unprofessional and very rude. Bangalore - Paris - Toilets (yes, all of them in Economy) did not have water for PAX to wash hands. Real hygiene issue. Quality of food was pathetic. Quality of headset was bad - audio was crackling. Flight announcements were garbled. Paris - Toronto Crew was very rude. Request for extra blanket was ignored (yes, they did not come back stating they could not provide) There were no beverages served after first meal service. Not even water! Snack served before landing did not have all portions. We were two of us and there were missing items in each of our packets - cannot believe flight crew are so inattentive to what they serve. Pressing CALL button - flight crew ignored. We had left the button on for 10 minutes and pressed it twice. On a long 8 hour flight, crew did not bother serving water or beverages frequently. Flight announcements were garbled.",negative,-0.894008,0,91,9.826499,6.990257
Not Verified ,,Couple Leisure,Economy Class,Chicago to Paris,24-May,3,3,4,4,1,1,1,no,1,"   Months ago we purchased two nonstop tickets from Chicago to Paris. The night before our flight, we got an email that we've been rebooked Chicago - Detroit - Paris, with the first leg being on Delta, the second leg being Air France in Detroit. We were annoyed because we paid for a nonstop ticket, but figured, at least we will still get in Paris, just a few hours after our original itinerary. Well, Delta to Detroit was delayed, and even with 20 of us that got rebooked on that Delta flight in Chicago trying to make the Paris connection, Air France did not wait for us in Detroit. We landed 36 minutes after the scheduled Paris departure. Now, we were stuck for a whole day in Detroit. We had horrible room accommodations, a shuttle that never showed up, and a day wasted on our short itinerary. To make matters worse, there was no one at Detroit airport from Air France (AF) to talk to all day so we tried working through an agent with Delta, but they could not see AF's international flights to help. Since we were now arriving in Paris a whole day later, we had a hotel night we had to pay for, museum tickets purchased in advance we could not use, and dinner reservations with a strict cancellation policy that charged us for not showing, despite our emails and pleas to not charge. Regardless, AF initial decision to bump 20 of us off the original nonstop flight in Chicago to Paris, caused us all to miss a whole day in Paris and cost us hundreds of dollars. I made a claim on Air France's website, which they replied to and said because the delay was less than 3 hours, no compensation would be rewarded. What are they even talking about? They clearly did not read our claim, so I called customer service, to which they could only reopen the claim but we cannot talk to anyone on the phone who handles the claims. I pleaded with them on two separate phone calls over two days to please let me talk to someone in claims or customer service or anyone who can help, to which they were very strict in saying there is no one for me to call, I just need to wait another week to hear back by email. Sure, the email's that they don't read and just send random responses to... all I can think of now is to get their attention by 1 star reviews.  What a horrible airline, with horrible policies. I can call any other airline, and have, and been able to get in communication with someone that can help. ",negative,-0.794346,0,91,9.826499,6.990257
? Trip Verified ,,Solo Leisure,Economy Class,Paris to Bologna,24-May,3,2,3,,,1,1,no,1,"  Air France weighs cabin luggage. I would expect this behavior from a low-cost airline, but not from France¡¯s national airline company.  Anyway, very poor service. I would recommend it only if you want to be treated badly and see how a terrible customer experience feels.",negative,-0.938991,0,91,9.826499,6.990257
